Device Active,Location Active,Address,City,State,Zip,Serial Number,First EOD Date,Dispenses,Acceptance,BNR_Total,Dispense_Rate,Acceptance_Rate,BNR_Rate,Days Active,Wear Rate,Maintenance Flag
1,1,788 Boyd Parkway,Paulside,SD,69500,FAKE000076,4/3/2020,4426867,5660186,10087053,2348.03,3002.18,5350.21,1903,5297.821953781513,True
1,1,736 Martha Point,Michaelbury,MN,23549,FAKE000077,12/6/2021,4507728,4378406,8886134,3540.13,3438.57,6978.69,1291,6877.812693498452,True
1,1,88977 Gomez Lodge,Lake April,RI,59703,FAKE000078,6/19/2018,4264651,1868966,6133617,1679.43,736.0,2415.43,2557,2397.8174354964817,True
1,1,2524 Cox Lake,Port Brandonfort,WI,89253,FAKE000079,7/1/2022,2151136,1200252,3351388,2017.44,1125.65,3143.09,1084,3088.836866359447,True
1,1,5226 Laura Key Apt. 670,Williamsberg,MS,16405,FAKE000080,11/18/2019,1046900,3683100,4730000,517.71,1821.36,2339.07,2040,2317.4914257716805,True
1,1,968 Jacqueline Squares,Herringmouth,OR,33571,FAKE000081,12/10/2023,2938557,4111516,7050073,5451.19,7627.1,13078.3,557,12634.539426523297,True
1,1,82034 David Causeway,Port Ashleymouth,WA,67695,FAKE000082,6/8/2020,4022519,4030741,8053260,2210.56,2215.08,4425.64,1837,4381.534276387378,True
1,1,6607 Eric Prairie,Ricardofurt,KY,54222,FAKE000083,5/28/2023,3339551,4692716,8032267,4542.54,6383.15,10925.69,753,10652.87400530504,True
1,1,342 Tyler Rest Suite 871,Wardburgh,VT,39952,FAKE000084,11/8/2023,5037485,6571817,11609302,8808.29,11491.14,20299.43,589,19676.783050847458,True
1,1,39723 Mason Causeway,Ronaldmouth,CA,20114,FAKE000085,12/18/2022,4069465,5392311,9461776,4538.68,6014.06,10552.74,914,10340.738797814207,True
1,1,318 Cooper Loop,Port Devin,NM,16805,FAKE000086,4/23/2020,6104074,6421138,12525212,3272.45,3442.44,6714.89,1883,6648.201698513801,True
1,1,7357 Robertson Loop Apt. 827,West Johnathanport,PA,56310,FAKE000087,4/11/2022,4103503,2445804,6549307,3576.19,2131.51,5707.7,1165,5616.901372212693,True
1,1,396 Willis Cliff Suite 938,North Kimberlytown,NY,38905,FAKE000088,10/27/2019,4607603,4890795,9498398,2254.14,2392.68,4646.82,2062,4604.167716917111,True
1,1,4862 Katherine Wells Apt. 879,Johnhaven,RI,42758,FAKE000089,10/13/2018,3086869,5026782,8113651,1273.72,2074.18,3347.9,2441,3322.543407043407,True
1,1,9389 Jamie Mill,Reneeport,NH,20909,FAKE000090,2/28/2019,3876953,1202203,5079156,1696.12,525.95,2222.07,2303,2204.4947916666665,True
1,1,39656 Robert Oval,Port Maryhaven,ME,72665,FAKE000091,2/24/2020,6712044,5046032,11758076,3487.54,2621.89,6109.43,1942,6051.50591868245,True
1,1,7162 Bradley Camp,Angelastad,VA,67880,FAKE000092,1/22/2020,4444733,1853846,6298579,2270.72,947.09,3217.81,1975,3187.539979757085,True
1,1,85218 Johnson Ways Apt. 080,East Brenda,NY,57120,FAKE000093,7/9/2022,1756884,5449761,7206645,1660.47,5150.7,6811.17,1076,6691.406685236769,True
1,1,072 Graham Pine,North Teresa,MT,53273,FAKE000094,7/7/2021,5194554,3350449,8545003,3643.65,2350.12,5993.77,1443,5917.5921052631575,True
1,1,053 Douglas Haven Suite 165,North Micheleberg,IL,63613,FAKE000095,6/30/2021,3225669,6000401,9226070,2251.08,4187.46,6438.54,1450,6358.42177808408,True
1,1,8183 Arnold Court,Lindsaymouth,RI,83790,FAKE000096,12/23/2018,1165341,5885810,7051151,495.39,2502.09,2997.48,2370,2973.91438211725,True
1,1,617 Goodwin Roads,Lake Michelle,MI,51933,FAKE000097,4/30/2021,3202867,5281902,8484769,2145.05,3537.44,5682.49,1511,5611.619708994709,True
1,1,149 Anna Well,West Brittney,MD,81756,FAKE000098,9/30/2022,4217383,2519988,6737371,4321.21,2582.03,6903.24,993,6778.039235412475,True
1,1,694 Christopher Lodge,North Kenneth,DE,72754,FAKE000099,1/22/2022,1323863,3114634,4438497,1079.11,2538.82,3617.93,1244,3565.0578313253013,True
1,1,6453 Miller Groves Suite 255,East Shannonton,LA,50076,FAKE000100,2/13/2022,4437901,3747864,8185765,3685.96,3112.84,6798.8,1222,6693.184791496321,True
1,1,33241 Kristina Pines Suite 018,Sethfurt,WA,27106,FAKE000101,10/10/2023,5079589,4575352,9654941,8463.46,7623.32,16086.78,618,15597.642972536349,True
1,1,87036 Chen Keys Apt. 993,North Royland,DC,25619,FAKE000102,2/13/2022,1483862,5577816,7061678,1231.51,4629.22,5860.73,1222,5774.062142273099,True
1,1,140 Williams Road,Lake Carly,MD,31792,FAKE000103,7/9/2022,2520687,1259514,3780201,2380.31,1189.37,3569.68,1076,3509.935933147632,True
1,1,3972 James Streets Suite 157,Michelleview,TN,11228,FAKE000104,5/27/2022,4064521,6993742,11058263,3688.83,6347.3,10036.14,1119,9873.449107142857,True
1,1,87237 Morris Stravenue Suite 206,Swansonberg,OK,40276,FAKE000105,4/20/2023,5061864,4218520,9280384,6544.26,5453.94,11998.2,791,11717.656565656565,True
1,1,6718 Mark Summit,Gibsonland,NE,32566,FAKE000106,6/17/2020,1032048,6819500,7851548,570.02,3766.51,4336.53,1828,4292.809185347184,True
1,1,5998 Frost Turnpike,Rodriguezborough,IA,37055,FAKE000107,7/20/2023,5401464,2443824,7845288,7916.91,3581.9,11498.81,700,11191.566333808845,True
1,1,86038 Stewart Extension,New Linda,WI,36524,FAKE000108,6/29/2019,1731418,1457557,3188975,799.93,673.4,1473.33,2182,1460.822262940907,True
1,1,48610 Gina Forges,Port Kristenside,NY,58252,FAKE000109,4/15/2023,3757504,1725664,5483168,4829.44,2217.96,7047.39,796,6879.759096612296,True
1,1,85597 Kimberly Harbors Suite 975,Shaneland,OH,13290,FAKE000110,7/4/2021,5298049,3579924,8877973,3709.12,2506.28,6215.4,1446,6135.43400138217,True
1,1,62415 Gwendolyn Corners Suite 805,New Jeremy,MN,48598,FAKE000111,8/17/2019,2316755,5647758,7964513,1095.28,2670.07,3765.35,2133,3732.1991565135895,True
1,1,8878 Steven Centers Apt. 330,New Phillipfurt,IN,23997,FAKE000112,4/2/2018,4989077,4124966,9114043,1905.84,1575.74,3481.58,2635,3457.5276934749622,True
1,1,14480 Roberts Mission Apt. 449,Lake James,DE,44482,FAKE000113,8/9/2022,2759610,6113919,8873529,2686.93,5952.89,8639.81,1045,8483.297323135756,True
1,1,772 Alex Forks,Lake Ross,MI,94840,FAKE000114,10/27/2019,2941104,3017860,5958964,1438.85,1476.4,2915.25,2062,2888.4944255937953,True
1,1,30677 Jennifer Hills Suite 580,Davisview,NM,79518,FAKE000115,7/28/2023,5366773,4839100,10205873,7951.1,7169.33,15120.43,692,14727.089466089466,True
1,1,9985 Andrea Greens Suite 227,Teresaville,VT,11516,FAKE000116,12/9/2023,2301231,1326202,3627433,4254.52,2451.88,6706.4,558,6489.1466905187835,True
1,1,5381 Ruiz Isle,Alyssaburgh,FL,71352,FAKE000117,9/22/2023,6478068,2259027,8737095,10475.17,3652.89,14128.07,636,13716.004709576138,True
1,1,70344 Anderson Squares Suite 776,Mccoyhaven,UT,61569,FAKE000118,10/2/2018,1392207,6747044,8139251,571.88,2771.48,3343.36,2452,3318.0803098247043,True
1,1,23848 Petty Rue,New Jenniferburgh,AZ,83182,FAKE000119,8/29/2019,1547400,2651465,4198865,735.68,1260.59,1996.27,2121,1978.729971724788,True
1,1,47352 Garcia Mountain Apt. 685,South Deannafurt,UT,42683,FAKE000120,12/18/2019,5472798,1205238,6678036,2746.03,604.74,3350.77,2010,3320.7538538040776,True
1,1,072 William Radial Suite 798,East Pamelachester,CA,13988,FAKE000121,5/15/2022,4799708,1034597,5834305,4309.69,928.97,5238.66,1131,5153.979681978799,True
1,1,5512 Matthew Ridge,South Rhonda,NM,59744,FAKE000122,8/12/2018,3792873,3595098,7387971,1525.98,1446.41,2972.39,2503,2950.4676517571884,True
1,1,75856 Lee Fields,West Catherine,CO,49031,FAKE000123,6/15/2021,2879027,5310824,8189851,1988.91,3668.87,5657.78,1465,5586.528649386085,True
1,1,23420 Jeffrey Crossroad Apt. 217,South Luis,NV,77755,FAKE000124,10/23/2021,4141634,5459535,9601169,3144.5,4145.1,7289.6,1335,7186.50374251497,True
1,1,29557 Jeffrey Parks Suite 442,Lake Alicia,WI,98441,FAKE000125,9/23/2020,3819852,5093364,8913216,2231.15,2975.0,5206.16,1730,5149.17157712305,True
1,1,05109 Bryant Pines Suite 323,New Shannonshire,NH,8855,FAKE000126,3/23/2020,4258001,3278625,7536626,2245.42,1728.96,3974.38,1914,3935.5749347258484,True
1,1,532 Christopher Rest Suite 083,Francisland,WA,37564,FAKE000127,4/27/2019,1350658,3519455,4870113,606.38,1580.07,2186.46,2245,2168.349510240427,True
1,1,19534 Hernandez View,North Kathrynhaven,ND,62970,FAKE000128,4/11/2022,1830910,2719803,4550713,1595.63,2370.3,3965.93,1165,3902.8413379073754,True
1,1,1316 Kelli Tunnel,Jamesport,WV,26821,FAKE000129,11/7/2022,4652413,2325172,6977585,4961.71,2479.75,7441.46,955,7298.729079497908,True
1,1,8936 Wood Extensions Suite 162,Lake Brooketon,KY,17093,FAKE000130,6/16/2018,5022224,1214277,6236501,1975.63,477.67,2453.3,2560,2435.181960171808,True
1,1,737 Manning Glens,Miguelhaven,GA,2425,FAKE000131,12/27/2019,1792359,2768745,4561104,903.47,1395.63,2299.1,2001,2278.2737262737264,True
1,1,61819 Summers Burgs,Port Teresaland,HI,36558,FAKE000132,7/1/2018,1878190,2121924,4000114,743.11,839.54,1582.64,2545,1571.1366849960723,True
1,1,1231 Smith Circle,Amandastad,HI,33069,FAKE000133,7/19/2019,3904142,6507985,10412127,1820.62,3034.88,4855.5,2162,4813.743411927878,True
1,1,585 Townsend Forks,Aaronmouth,MA,48272,FAKE000134,10/29/2022,1206828,5696290,6903118,1274.66,6016.46,7291.12,964,7153.490155440414,True
1,1,25552 Palmer Creek,South Victoria,ME,47672,FAKE000135,4/3/2018,5117609,3296715,8414324,1955.62,1259.79,3215.41,2634,3193.291840607211,True
1,1,16194 Watkins Lights,South Angela,MT,5256,FAKE000136,1/6/2021,6122564,6913481,13036045,3809.56,4301.68,8111.23,1625,8017.247847478475,True
1,1,44315 William Via,Geraldville,IN,36456,FAKE000137,11/17/2022,1582877,6788088,8370965,1706.37,7317.67,9024.04,945,8848.80021141649,True
1,1,1946 Reynolds Street,Lake Nicolebury,LA,4821,FAKE000138,5/31/2020,1806333,3627985,5434318,988.21,1984.79,2973.0,1845,2943.834236186349,True
1,1,02943 Moon Plains Suite 131,Amyside,WI,74902,FAKE000139,3/8/2019,3183067,2475930,5658997,1397.57,1087.09,2484.67,2295,2464.7199477351915,True
1,1,65890 May Crescent,West Stevenside,WA,82483,FAKE000140,4/22/2021,4314013,5406003,9720016,2873.42,3600.75,6474.17,1519,6394.747368421053,True
1,1,9432 Steve Creek,Justinmouth,KY,36299,FAKE000141,4/12/2021,4042498,5050657,9093155,2674.7,3341.74,6016.43,1529,5943.238562091503,True
1,1,213 Lawrence Harbor Suite 439,Harristown,CA,32428,FAKE000142,4/10/2022,2801707,2623272,5424979,2439.74,2284.36,4724.1,1166,4648.65381319623,True
1,1,67244 Linda Drives,East Sherrychester,GA,39037,FAKE000143,11/6/2018,5194224,3658423,8852647,2164.45,1524.48,3688.92,2417,3661.144334160463,True
1,1,15443 Patrick Island Suite 283,West Kimberly,DE,69037,FAKE000144,10/29/2019,5574168,5937170,11511338,2729.44,2907.18,5636.62,2060,5585.316836487143,True
1,1,7235 Edward Freeway Apt. 274,Port Travis,DC,69838,FAKE000145,4/13/2019,4805038,5404974,10210012,2143.2,2410.79,4553.99,2259,4517.704424778761,True
1,1,8217 Katelyn Street Apt. 781,Tracyberg,VA,86609,FAKE000146,4/30/2018,3042773,2595937,5638710,1175.04,1002.48,2177.52,2607,2162.082055214724,True
1,1,3001 Richard Heights Apt. 456,North Patricia,SC,56516,FAKE000147,9/24/2023,4648394,1674033,6322427,7538.79,2714.96,10253.75,634,9956.577952755906,True
1,1,326 Johnson Villages,Kathybury,IA,31697,FAKE000148,2/25/2021,5742850,4608846,10351696,3686.27,2958.36,6644.63,1575,6568.33502538071,True
1,1,8532 Castillo Brooks Suite 278,South Jonathan,WY,37229,FAKE000149,6/5/2019,3317410,1882987,5200397,1516.06,860.53,2376.59,2206,2356.3194381513367,True
1,1,63260 Lisa Ports,West Brentberg,NE,32405,FAKE000150,5/30/2018,1500755,3193772,4694527,586.37,1247.85,1834.22,2577,1820.9957331264545,True
1,1,7290 Lucas Stravenue,Parkershire,NE,15939,FAKE000151,6/13/2020,1919411,5475921,7395332,1057.99,3018.35,4076.34,1832,4034.5510092744134,True
1,1,713 Armstrong Ferry,South Adriana,NY,31413,FAKE000152,11/26/2023,4335336,2836465,7171801,7830.31,5123.11,12953.43,571,12538.113636363636,True
1,1,99386 Sharon Locks,New Jonathanview,ID,22959,FAKE000153,11/12/2021,6467802,6629874,13097676,4986.59,5111.55,10098.14,1315,9952.641337386018,True
1,1,5307 Robert Fort Suite 951,West Timothy,AZ,7374,FAKE000154,11/11/2023,3367520,1590820,4958340,5926.08,2799.49,8725.56,586,8446.916524701874,True
1,1,975 Bell Route,Alexisland,IA,97772,FAKE000155,3/9/2023,2778899,6128919,8907818,3407.86,7516.1,10923.95,833,10680.836930455636,True
1,1,528 Barbara Track Suite 283,Lake Annette,IL,51626,FAKE000156,9/23/2020,5403769,1006294,6410063,3156.31,587.77,3744.08,1730,3703.098209127672,True
1,1,5531 Fletcher Forks,North Karen,RI,89014,FAKE000157,3/23/2019,2604983,2391623,4996606,1151.6,1057.28,2208.87,2280,2190.5330995177555,True
1,1,523 Wendy Summit,Elizabethland,OK,74145,FAKE000158,4/29/2019,4947119,1417778,6364897,2222.85,637.04,2859.89,2243,2836.406862745098,True
1,1,58929 Barry Alley Suite 799,Brandonberg,CO,14914,FAKE000159,6/1/2021,1936740,1994950,3931690,1325.43,1365.26,2690.69,1479,2656.5472972972975,True
1,1,66483 Mitchell Square Apt. 670,Santosland,MO,67369,FAKE000160,2/11/2018,4577160,4286517,8863677,1715.61,1606.67,3322.27,2685,3299.9542069992553,True
1,1,3225 Allen Trafficway Suite 814,Tamaramouth,NC,87885,FAKE000161,6/25/2019,6823357,3500317,10323674,3147.14,1614.45,4761.59,2186,4720.472793781436,True
1,1,06160 Mitchell Stravenue,Josephhaven,ND,45716,FAKE000162,9/20/2020,3631603,4301721,7933324,2116.69,2507.27,4623.95,1733,4575.158016147636,True
1,1,67451 Morrison Estates Apt. 395,Timothyburgh,TX,660,FAKE000163,12/25/2020,4163513,1277689,5441202,2571.63,789.18,3360.81,1637,3321.8571428571427,True
